formerly,Family,2014 Checklist Species,Authority,FOODPLANT,1,2,3,4,5,6,7,8,9,10,11,12,gen,HABIT,Notes,Cameron synonym,NOTES,forum members,"Cameron larvae vol,pl.-fig. ",Species with larvae illustrated in Vollenhoven,Voll. no.,V.H.Chambers Notebooks,KJGrearson,Quinlan,Zahradnik,Chinery,Carter & H.,Redfern & Shirley,D.R.Smith,Denbighs,Derbys,Chesh.,Lancs.,web link,,,
,Pamphiliidae,Neurotoma mandibularis,"(Zaddach,1866)",Quercus spp. (Oaks),,,,,,,,,,,,,,"leaf roll, 2 larvae",,,,,,,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)",Cotoneaster spp. (Cotoneaster),,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)",Crataegus spp. (Hawthorns),,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)",Mespilus germanica (Medlar),,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)","Prunus spp. (Cherries, Plums, etc)",,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)",Pyrus communis (Pear),,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Neurotoma saltuum,"(Linnaeus,1758)","Rosaceae: (Fruit trees, Roses, Hawthorns, etc.)",,,,,,,,,,,,,,"Gregarious, web",,,,,,,,,KJG,fig. 17,,,,,,,,[58],,none,,,
,Pamphiliidae,Pamphilius balteatus,"(Fallén,1808)",Rosa spp. (Roses),,,,,,x,x,x,x,,,,,"Solitary, leaf-roll","The larvae live inside a rolled up leaf, on which they feed. After a while they may move to another leaf, still inside the old one.",,,,,,,,,fig. 17,,,,,,,,[58],,,,,
,Pamphiliidae,Pamphilius betulae,"(Linnaeus,1758)",Populus tremula (Aspen),,,,,,,,,,,,,,"Solitary, leaf-roll",The larvae live and feed within rolled leaves.,,,,,,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius fumipennis,"(Curtis,1831)",Corylus avellana (Hazel),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,,,,,,
